country_code,variable,statistic,pvalue,lags
MAC,linv,-3.1312620984854114,0.024324504500589848,1
MAR,linv,-2.2234026708267978,0.19786153408713414,1
MDA,linv,-2.3829154151171665,0.14661657913962006,1
MDG,linv,-2.092283419501727,0.24762877705001762,1
MDV,linv,-2.372565435602552,0.14962977829907353,1
MEX,linv,-2.857376110824584,0.05053383762668962,1
MHL,linv,-3.766787007019255,0.0032660046793896945,1
MKD,linv,-0.9659429433448068,0.7654823365025394,1
MLI,linv,-1.2330693479302341,0.6592108467490368,1
MLT,linv,-2.676314223484901,0.07822738611719074,1
MNE,linv,-2.940551398274027,0.04083156594636166,1
MNG,linv,-2.8145529733284977,0.05622486084954133,1
MOZ,linv,-1.3559499541378024,0.6032027580659436,1
MRT,linv,-2.583181656565584,0.09652333602921787,1
MUS,linv,-1.0854346488064013,0.7208453100049308,1
MWI,linv,-0.357766464545364,0.9169150545894493,1
MYS,linv,-2.422880863693372,0.13538231327462197,1
NAM,linv,-1.9539354675673095,0.30712859240627677,1
NER,linv,-1.5768453237235314,0.4952135474431651,1
NIC,linv,-2.2789613789916254,0.1788431432592314,1
NLD,linv,-2.099422450858686,0.24474690032740587,1
NOR,linv,-2.1326286190375154,0.23159843187593343,1
NPL,linv,-1.491656779640174,0.5376344992767831,1
NZL,linv,-1.6025328576736917,0.4823210129222827,1
OMN,linv,-2.8424832654606274,0.052456894598623925,1
PAK,linv,-2.5414077096910215,0.10572161496255894,1
PAN,linv,-2.03283082018612,0.2723659852890187,1
PER,linv,-1.6076006970835037,0.4797743952983713,1
PHL,linv,-1.9678098794566845,0.3008631977342632,1
PLW,linv,-1.2469072464763402,0.6530991562580998,1
POL,linv,-3.5804660300287354,0.006145645967841133,1
PRI,linv,-2.153012481554446,0.22373876833233658,1
PRT,linv,-2.0052267997523843,0.2842860427090169,1
PRY,linv,-2.1568423940434855,0.22228018505017783,1
PSE,linv,-1.6341707529919363,0.46530833825108825,1
PYF,linv,-2.1572161101292884,0.2221381680763797,1
QAT,linv,-2.34152685560049,0.1589241793306383,1
