country_code,gdp_mean,gdp_std,gdp_min,gdp_max,trade_mean,trade_std,trade_min,trade_max,inv_mean,inv_std,inv_min,inv_max,school_mean,school_std,school_min,school_max,popg_mean,popg_std,popg_min,popg_max
MLT,22694.69033325885,4973.21656192048,16920.7229743513,31447.3917315418,192.95780996334562,28.01216498420733,154.574162373723,244.581535518883,21.413727141926188,3.008964630090374,15.9078608339013,27.3213661672154,101.21124059503728,2.4837200398481953,97.4764785766602,105.503288269043,1.3698160250804805,1.1004947470171644,0.348755082369901,4.05171762437788
MNE,5953.499745857928,1000.3380985611487,4391.36753581801,7773.59958791074,105.17278799337768,12.72645879622328,77.5983890107329,132.48054069386,24.284914080551,6.326725852585577,15.4139251772035,40.8364739584696,106.1682968139649,6.192322845629015,98.0292282104492,120.292976379395,0.13073545468077902,0.16201063780592745,-0.245597310506825,0.402363248322291
MNG,3010.5089705163123,977.9545629150364,1598.31282040605,4337.8167085432,115.88197887341735,10.835025197085077,89.653663477814,136.327929944516,35.99433189026316,10.105676361526474,22.3835976647751,58.1507247959228,101.7254676426446,8.636650817244945,92.024228960725,121.840103149414,1.636269970907565,0.34184742722268524,1.10986290557005,2.18707605433318
MOZ,496.84512500942725,110.88791554307025,287.390630344484,621.153734194787,88.45674371990823,24.52442502797499,47.9208808015891,135.274535098995,36.51640388867094,10.853391232916243,19.7560524022268,56.3958108944659,107.32390547140349,13.661467430132758,73.2299194335938,119.162225223393,2.654451764341083,0.30618251549101333,2.20366517231952,2.98845927899068
MRT,1483.3513982130617,113.70131246372085,1255.23785465583,1641.14052210995,83.7365746485088,15.08875759488304,55.3180243332438,110.788122743421,34.105011842938524,11.941724797603085,9.54379992177407,49.1668225188386,90.58345666729154,5.350467504477113,80.3173294067383,97.8571652188966,2.8322539172265286,0.3171259880480437,2.2112923085405,3.26413503920642
MUS,8328.779001721041,1755.3421424766211,5724.49584395791,11111.3423669526,122.68054641044309,10.685083093691658,102.458365840232,147.663795034012,21.68698500114769,3.056141469429783,17.0515093773708,26.7282315985642,99.59697394289383,2.6138974644853996,95.0063902545739,103.124137878418,0.3113771478186388,0.30984625759428597,-0.301401216835277,0.982676166064297
MWI,559.7070971029713,9.694995975697228,544.795729220349,569.968967322435,43.71987821369143,1.4659152075459156,41.0323429397328,45.3003137160008,18.839049091033633,2.6136248460110334,15.9327969038503,21.9119103002645,134.21632282294183,5.858858318499711,126.587758962955,139.274520404398,2.6379507125081836,0.05100260338234376,2.567947782963,2.70808949087835
MYS,8602.631311994788,1558.3007349742006,6334.92795651698,11191.6511756943,163.02970860134096,33.16606725927597,116.788182437638,220.406788982074,23.486104422065964,2.1623851609990754,17.8356949570531,26.8674891484592,96.18609958931881,2.5053310234883845,89.7872630978958,98.9066848845224,1.8954951576855466,0.37963449003180505,1.15251304394292,2.41855547054066
NAM,3989.6540787291697,523.8511926444328,3055.40444831936,4774.10650865775,94.34345117236698,12.47888259407686,76.9252424036465,123.762844292976,21.9394465026919,5.3380958552001365,13.9292034235476,34.7765509650404,118.57727619478696,5.005331914582723,110.676361083984,125.87493234498,2.115516130237094,0.6389945982518555,1.25364169808749,2.95314556354467
NCL,30858.7237060533,,30858.7237060533,30858.7237060533,60.0467960954308,,60.0467960954308,60.0467960954308,34.7225325646771,,34.7225325646771,34.7225325646771,,,,,0.688885628400534,,0.688885628400534,0.688885628400534
NER,457.417208954457,51.32967204149506,392.898616941042,565.873385794358,39.885810552641836,5.8321925337453395,30.8343857497549,51.9459863027627,25.74700702273066,7.852786184076998,12.4971525069023,34.4846899381682,57.18233388329647,13.103828851877397,32.1440010070801,74.3787719289761,3.577239508361578,0.1613366250722937,3.25170642220024,3.77324639644684
NIC,1823.020314605589,253.36208745189944,1458.37490084556,2209.63273423213,90.1859066223447,18.553578768715123,57.9801315472268,115.454670931919,26.56460855833229,4.434324980425654,17.831076630152,33.6019904976752,116.23384323120119,6.483793988661679,103.338760375977,123.00740814209,1.3324928315973175,0.0839184039002687,1.1785630920639,1.43621553103677
NLD,45152.75697299052,3005.4331098171037,40665.3000211594,51777.5314828276,140.38848458838575,20.21826967336559,111.30450319576,184.107484252682,20.84527991665424,1.4639714122918757,17.7066341303839,23.2286138653607,106.37279777526855,1.393676039973261,104.215446472168,108.201370239258,0.4906322063238115,0.1862672866875938,0.160613668857538,0.953278922854537
NOR,75608.97843964705,4059.6672329774474,67611.3411021859,83756.7383805061,69.31259419201442,3.521410102170382,63.3673184179043,79.9216011363033,23.84939188443751,2.8356439563852422,18.5016607815225,29.022434267812,99.35941384055396,0.2518219844581033,98.8857498168945,99.7100524902344,0.8754124476371615,0.286477000952524,0.506046910557235,1.31344098868985
NPL,779.8810615261369,189.43100490728915,547.221082273632,1113.55462341223,45.5119335838072,4.523865147007373,36.2967588899367,55.7999210803706,30.138591213779655,5.866037786019837,20.2462111730944,41.3787409098363,129.65394477293924,14.466927777163315,106.702140808105,151.550483561125,0.906129328432615,0.5536006592649008,0.199389989212823,1.92583106605859
NZL,36812.4413924495,3127.639896555734,30839.2953866092,42716.0866783034,57.0978304562165,5.442137139566399,43.8262466218168,68.5169268768932,23.264300455936542,1.6593201201114463,19.926477761063,26.4295090374982,98.83895840852156,0.7779961043844851,96.5572509765625,99.9528884887695,1.2236971355641584,0.6445896087058207,-0.0570512394609476,2.24603210015584
OMN,19717.719463195543,1416.9240815069863,17743.8858800477,22819.1977324647,92.59403058216333,8.161863212764198,81.4132822358275,112.543521763774,30.842079224071203,4.8214176822970805,22.5837734261812,42.0046274389994,97.98391701660917,6.217276160221934,89.1980294207256,111.140314266055,3.225003093239981,3.6001088634917093,-1.50860829621662,14.2253989455262
PAK,1318.0500551406865,181.9761387414045,1049.54229686852,1642.28066974826,28.487774999499404,3.7647236521539345,21.4599638884654,34.3489608135242,15.961076877217248,1.0854864763359888,14.5346921503021,18.2822141634905,71.4969858236968,5.158265453803851,62.63623046875,80.3165790075685,2.0936665611428813,0.4929712134719978,1.30216393815952,2.82475983542412
PAN,11358.460766101012,3230.748239616444,6787.86267897348,15956.0671087873,119.67899964811612,29.200455401576836,68.700423510603,164.58628613577,34.18888640754973,7.408779846308591,21.2012571382655,43.5746774849074,103.03360870948057,5.487868445449989,93.3286426450155,109.872016906738,1.7363373934561404,0.20378218516514887,1.20723809203153,1.96400557919623
PER,5167.1833428952195,1248.4100932847143,3261.6642505136,6671.28902042137,47.57725486251328,7.016148124749601,35.0644014310212,58.4337673899053,21.308331970757916,2.8580957723444858,16.8556825410753,26.178345935433,110.53734986678418,4.99397517114286,102.787979125977,116.377288818359,1.0676861405947526,0.34143653644421884,0.617089075143821,1.81253577188754
PHL,2577.894517646185,604.0739250881203,1793.34761146436,3577.70136573244,70.33554526545255,10.960578802496315,55.8247812320298,87.5746443636636,20.569435944050767,3.2475156992045706,15.684364157955,27.1505820415621,99.51311215752655,4.876614447678711,88.8345145801337,104.629987793486,1.662370147982988,0.4196673244711449,0.760479216015364,2.37926588939747
PLW,14354.016427386778,1070.4583320408185,12889.6216058288,16179.3959628749,121.8398630958499,16.009897852320595,79.5791429216543,145.793812924789,33.03233297271484,6.210588249368731,24.5409409522502,44.2218552162716,107.59379626029155,7.139656674292981,92.0141342756184,116.396903589022,-0.6099949957187988,0.8189389463428633,-1.74654999032287,0.378927580628865
PNG,1883.860658433156,70.4830789231383,1821.84741071002,1989.57882204274,121.29065906536201,6.212497551802701,115.421837958873,131.082911016249,21.19173253753042,1.28639267303756,19.9214691833082,22.9518867289324,60.4506042480469,5.092515277347204,56.0239791870117,68.3852920532227,3.360376586925694,0.06666425619454745,3.27757216652727,3.44925161413658
POL,11401.9008508867,2962.235327846372,7401.57697647848,17303.64494323,85.69906242978168,16.782382695115245,57.8785312712895,123.021332860345,21.126131938402793,1.8303829725386687,18.5444793558839,25.4186459060222,98.03730888366701,4.129270993060256,82.211540222168,100.680816650391,-0.21184264152244084,0.4182259705139276,-1.4341408496549,0.067763227021235
PRI,28811.42280251938,864.9969516242683,26131.9630643584,30375.7895758237,108.54374154345517,6.229210434538846,96.7453625315476,118.84015748242,12.570679718697283,3.342398277565591,7.79415247642478,19.7145610014619,96.94786326090495,2.595478313126105,92.7918167114258,100.338363647461,-0.7199785263550152,0.887150736515434,-3.58604464903081,0.364032148393714
PRT,19681.853216677886,920.7806429430357,18597.7214623964,22042.8680283647,74.40477365303418,10.39630882681476,61.1389474883653,101.364146479435,20.767764361140397,3.9827173917361685,14.6835299275763,28.7766387963597,109.95023831454195,4.343301632658503,104.209732055664,119.482360839844,0.09116298008646125,0.39660635163629754,-0.548815210952228,0.705230637323876
PRY,5184.50435648869,895.1917507337979,3916.4402230868,6354.2392005297,74.98608506769011,5.9852824549105215,62.7602174748561,85.0219636540457,21.41048907325952,2.355069507155427,17.3392448147808,27.7603530415666,110.3754600044709,10.142473031190605,90.8342908567893,121.569923400879,1.308812220873258,0.23021880271976156,0.969992282647573,1.93460053752763
PSE,2873.1275513615888,476.95440707229164,1836.98042481351,3483.09903532972,74.85850716899081,7.749409021452326,65.4225141833383,91.9992434272745,24.152764517015616,3.9006929380287594,16.6617498502606,31.5026891691395,94.47105674558624,2.3431123296341494,90.8438262939453,97.6895980834961,2.4841485899891373,0.15577937027238783,1.98868634871278,2.75135880229092
